grp_id,soil_series,soil_series_id,grp_properties,grp_resourcefullness,grp_properties_upper_organic,grp_properties_upper_N,grp_properties_upper_P,grp_properties_upper_K,grp_properties_upper_pH,grp_properties_lower_organic,grp_properties_lower_N,grp_properties_lower_P,grp_properties_lower_K,grp_properties_lower_pH,grp_properties_upper_pH_upper,grp_properties_upper_pH_lower,grp_properties_lower_pH_upper,grp_properties_lower_pH_lower,grp_awc,grp_awc_lst,grp_awc_min,grp_awc_max,grp_awc_avg
1,ชุดดินบ้านหมี่ (Bm) ชุดดินบ้านโภชน์ (Bpo) ชุดดินบุรีรัมย์  (Br) ชุดดินช่องแค (Ck) ชุดดินโคกกระเทียม  (Kk) ชุดดินวัฒนา (Wa) หรือดินคล้ายอื่นๆ  ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Bm', 'Bpo', 'Br', 'Ck', 'Kk', 'Wa']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  ในบริเวณเทือกเขาหินปูนหรือหินภูเขาไฟ สภาพพื้นที่เป็นที่ราบลุ่ม  มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินลึกที่มีการระบายน้ำเลวหรือค่อนข้างเลว  เนื้อดินเป็นพวกดินเหนียวจัด หน้าดินแตกระแหงเป็นร่องลึกในฤดูแล้ง  และมีรอยถูไถลในดิน สีดินส่วนมากเป็นสีดำ หรือสีเทาแก่ตลอด มีจุดประสีน้ำตาล  สีเหลือง และอาจพบจุดประสีแดงบ้าง ปะปนตลอดชั้นดิน  ส่วนดินชั้นล่างมักมีก้อนปูนปะปน ปฏิกิริยาดินส่วนใหญ่เป็นกรดจัดถึงเป็นด่างเล็กน้อย,ปานกลางถึงสูง,2.2,0.11000000000000001,18.5,115.8,"[5.5, 6.5]",1.7,0.085,19.0,111.6,"[6.0, 7.5]",6.5,5.5,7.5,6.0,"มีค่าระหว่าง 19.86-22.82 
                          เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 20.99 เปอร์เซ็นต์โดยน้ำหนัก 
                          ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                          (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                          -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                          -1,500 กิโลพาสคาล)","['19.86', '22.82', '20.99', '120', '33', '1,500']",19.86,22.82,20.99
2,อยุธยา (Ay) ชุดดินบางเขน (Bn) ชุดดินบางน้ำเปรี้ยว  (Bp) ชุดดินมหาโพธิ (Ma) ชุดดินท่าขวาง  (Tq) หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Ay', 'Bn', 'Bp', 'Ma', 'Tq']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนผสมของตะกอนลำน้ำและตะกอนน้ำทะเล  แล้วพัฒนาในสภาพน้ำกร่อย พบบริเวณที่ราบชายฝั่งทะเลหรือที่ราบลุ่มภาคกลาง  ดินมีการระบายน้ำเลว มีเนื้อดินเป็นพวกดินเหนียวหรือดินเหนียวจัด  หน้าดินอาจแตกระแหงเป็นร่องลึกในฤดูแล้ง และมีรอยถูไถลในดิน  สีดินเป็นสีเทาหรือสีเทาแก่ตลอด มีจุดประสีน้ำตาล สีเหลือง  หรือสีแดงปะปนตลอดชั้นดิน อาจพบผลึกยิปซัมบ้างเล็กน้อย  และพบชั้นดินเหนียวสีเทาที่มีจุดประสีเหลืองของสารจาโรไซต์ในระดับความลึกประมาณ 100 ถึง 150 ซม. ทับอยู่บนชั้นดินเลนตะกอนน้ำทะเลที่มีสีเทาปนเขียว  ปฏิกิริยาดินเป็นกรดจัดมากถึงกรดปานกลาง,ปานกลาง,2.5,0.125,5.0,205.4,"[5.0, 6.0]",1.6,0.08000000000000002,3.7,158.1,"[4.5, 5.5]",6.0,5.0,5.5,4.5,"มีค่าระหว่าง 20.26-21.03เปอร์เซ็นต์โดยน้ำหนัก 
                        เฉลี่ย 20.51 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 120 เซนติเมตร 
                        จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['20.26', '20.51', '120', '33', '1,500']",20.26,20.51,120
3,ชุดดินบางกอก (Bk) ชุดดินบางเลน (Bl) ชุดดินบางแพ (Bph)  ชุดดินฉะเชิงเทรา (Cc) ชุดดินสมุทรปราการ (Sm) หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Bk', 'Bl', 'Bph', 'Cc', 'Sm']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนผสมของตะกอนลำน้ำและตะกอนน้ำทะเล  แล้วพัฒนาในสภาพน้ำกร่อย พบในบริเวณที่ราบลุ่มหรือที่ราบเรียบ  บริเวณชายฝั่งทะเลหรือห่างจากทะเลไม่มากนัก มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินลึกที่มีการระบายน้ำเลวถึงค่อนข้างเลว  มีเนื้อดินเป็นพวกดินเหนียวหรือดินเหนียวจัด  หน้าดินอาจแตกระแหงเป็นร่องลึกในฤดูแล้ง และมีรอยถูไถลในดิน ดินบนมีสีดำ  ส่วนดินล่างมีสีเทาหรือน้ำตาลอ่อน มีจุดประสีเหลืองและสีน้ำตาล ตลอดชั้นดิน  บางบริเวณอาจพบจุดประสีแดงปะปน หรืออาจพบผลึกยิปซั่มบ้าง ที่ความลึกประมาณ 1.0 -1.5 เมตร จะพบชั้นตะกอนทะเลสีเขียวมะกอก และพบเปลือกหอยปน  ปฏิกิริยาดินเป็นกรดจัดถึงด่างปานกลาง,ปานกลางถึงสูง,2.1,0.10500000000000001,21.3,195.0,"[5.5, 7.0]",1.4,0.06999999999999999,20.3,182.5,"[5.5, 8.0]",7.0,5.5,8.0,5.5,"มีค่าระหว่าง 18.62-21.12 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 20.07 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['18.62', '21.12', '20.07', '120', '33', '1,500']",18.62,21.12,20.07
4,ชุดดินบางมูลนาก (Ban) ชุดดินบางปะอิน (Bin) ชุดดินชัยนาท (Cn)  ชุดดินชุมแสง (Cs) ชุดดินพิมาย (Pm) ชุดดินราชบุรี (Rb) ชุดดินสระบุรี (Sb) ชุดดินสิงห์บุรี (Sin) ชุดดินศรีสงคราม (Ss) ชุดดินท่าพล (Tn) ชุดดินท่าเรือ (Tr) หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Ban', 'Bin', 'Cn', 'Cs', 'Pm', 'Rb', 'Sb', 'Sin', 'Ss', 'Tn', 'Tr']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  พบในบริเวณที่ราบตะกอนน้ำพา มีสภาพพื้นที่เป็นที่ราบลุ่มหรือที่ราบเรียบ  มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินลึกที่มีการระบายน้ำเลวหรือค่อนข้างเลว มีเนื้อดินเป็นพวกดินเหนียวหรือดินเหนียวจัด  หน้าดินอาจแตกระแหงเป็นร่องในฤดูแล้ง และอาจมีรอยถูไถลในดิน ดินบนมีสีดำ  หรือเทาเข้ม ดินล่างมีสีเทา น้ำตาล น้ำตาลอ่อนหรือเทาปนเขียวมะกอก  มีจุดประสีน้ำตาลปนเหลือง สีเหลือง สีน้ำตาลแก่ หรือสีแดง อาจพบก้อนปูน หรือก้อนสารเคมีสะสมพวกเหล็กและแมงกานีสในชั้นดินล่าง  ปฏิกิริยาดินเป็นกรดจัดถึงเป็นกรดเล็กน้อย  แต่ถ้าดินมีก้อนปูนปะปนจะมีปฏิกิริยาเป็นกลางหรือด่างปานกลาง,ปานกลาง,0.9,0.045000000000000005,6.7,119.0,"[5.5, 6.5]",0.6,0.03,6.3,110.5,"[6.5, 8.0]",6.5,5.5,8.0,6.5,"มีค่าระหว่าง 20.60-22.66 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 21.41 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['20.60', '22.66', '21.41', '120', '33', '1,500']",20.60,22.66,21.41
5,ชุดดินหางดง (Hd) ชุดดินละงู (Lgu) ชุดดินพาน (Ph) หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Hd', 'Lgu', 'Ph']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  พบในบริเวณที่ราบตะกอนน้ำพา มีสภาพพื้นที่เป็นที่ราบเรียบ มีน้ำแช่ขังในช่วงฤดูฝน  เป็นดินลึกที่มีการระบายน้ำเลวหรือค่อนข้างเลว มีเนื้อดินเป็นพวกดินเหนียว  เนื้อดินบนเป็นดินร่วนเหนียวหรือดินเหนียว สีเทาแก่  ดินล่างเป็นดินเหนียวสีน้ำตาลอ่อน หรือสีเทา มีจุดประสีน้ำตาล สีเหลือง  หรือสีแดงตลอดชั้นดิน มักพบก้อนสารเคมีสะสมพวกเหล็กและแมงกานีส ปะปนอยู่  และในชั้นดินล่างลึกๆ อาจพบก้อนปูน ปฏิกิริยาดินเป็นกรดจัดถึงเป็นกรดเล็กน้อย  แต่ถ้าดินมีก้อนปูนปะปน จะมีปฏิกิริยาเป็นกลางหรือด่างปานกลาง,ต่ำ-ปานกลาง,2.0,0.1,10.3,50.2,"[5.5, 6.5]",1.2,0.06,6.6,41.4,"[6.5, 8.0]",6.5,5.5,8.0,6.5,"มีค่าระหว่าง 19.29-21.78 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 19.95 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['19.29', '21.78', '19.95', '120', '33', '1,500']",19.29,21.78,19.95
6,"ชุดดินบางนารา (Ba) ชุดดินเชียงราย (Cr) ชุดดินสุไหงโกลก  (Gk) ชุดดินแกลง (Kl) ชุดดินคลองขุด (Kut) 
ชุดดินมโนรมย์ (Mn) ชุดดินนครพนม (Nn) ชุดดินปากท่อ  (Pth) ชุดดินพะวง (Paw) ชุดดินพัทลุง (Ptl)  ชุดดินสตูล (Stu) ชุดดินท่าศาลา (Tsl) ชุดดินวังตง (Wat) หรือดินคล้ายอื่นๆ  ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Ba', 'Cr', 'Gk', 'Kl', 'Kut', 'Mn', 'Nn', 'Pth', 'Paw', 'Ptl', 'Stu', 'Tsl', 'Wat']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  พบในบริเวณที่ราบตะกอนน้ำพา มีสภาพพื้นที่เป็นที่ราบเรียบหรือค่อนข้างราบเรียบ  มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินลึกที่มีการระบายน้ำเลวหรือค่อนข้างเลว  เนื้อดินเป็นพวกดินเหนียว มีเนื้อดินบนเป็นดินร่วนเหนียวหรือดินเหนียว สีเทาแก่  ดินล่างเป็นดินเหนียวสีน้ำตาลอ่อน หรือสีเทา มีจุดประสีน้ำตาล สีเหลือง  หรือสีแดงตลอดชั้นดิน บางแห่งมีศิลาแลงอ่อนหรือก้อนสารเคมีสะสมพวกเหล็กแมงกานีสปะปนอยู่ด้วย  ปฏิกิริยาดินเป็นกรดจัดมากถึงกรดจัด,ต่ำ,1.8,0.09000000000000001,7.3,39.0,"[5.5, 6.5]",1.5,0.07500000000000001,4.9,39.0,"[4.5, 5.5]",6.5,5.5,5.5,4.5,"มีค่าระหว่าง 17.41-21.15 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 19.80 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['17.41', '21.15', '19.80', '120', '33', '1,500']",17.41,21.15,19.80
7,ชุดดินเดิมบาง (Db) ชุดดินน่าน (Na) ชุดดินนครปฐม (Np)  ชุดดินผักกาด (Pat) ชุดดินสุโขทัย (Skt)  ชุดดินท่าตูม (Tt) ชุดดินอุตรดิตถ์  (Utt) ชุดดินระโนด (Ran),"['Db', 'Na', 'Np', 'Pat', 'Skt', 'Tt', 'Utt', 'Ran']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  พบในบริเวณที่ราบตะกอนน้ำพา มีสภาพพื้นที่เป็นที่ราบเรียบหรือค่อนข้างราบเรียบ  มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินลึกที่มีการระบายน้ำเลวหรือค่อนข้างเลว  เนื้อดินเป็นพวกดินเหนียว มีเนื้อดินบนเป็นดินร่วนเหนียวหรือดินเหนียวสีเทาแก่  ดินล่างเป็นดินเหนียว สีน้ำตาลอ่อน สีเทาหรือสีน้ำตาลปนเทา พบจุดประสีน้ำตาล  สีเหลืองหรือสีแดงปะปนตลอดชั้นดิน ปฏิกิริยาดินเป็นกรดปานกลางถึงด่างปานกลาง,ปานกลาง,3.8,0.19,2.6,89.2,"[6.0, 7.0]",2.7,0.135,2.3,80.5,"[7.0, 8.0]",7.0,6.0,8.0,7.0,"มีค่าระหว่าง 14.06-21.12 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 19.01 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['14.06', '21.12', '19.01', '120', '33', '1,500']",14.06,21.12,19.01
8,ชุดดินดำเนินสะดวก (Dn) สมุทรสงคราม (Sso) ธนบุรี (Tb)  หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Dn', 'Sso', 'Tb']",เป็นกลุ่มชุดดินที่มีการยกร่อง เนื้อดินส่วนใหญ่เป็นดินเหนียว  ดินบนมีลักษณะการทับถมเป็นชั้นๆ ของดินและอินทรียวัตถุที่ได้จากการขุดลอกร่องน้ำ  ดินล่างมีสีเทา บางแห่งมีเปลือกหอยปะปนอยู่ด้วย พบในบริเวณพื้นที่ราบลุ่ม  ซึ่งเกษตรกรได้ดัดแปลงพื้นที่เพื่อใช้ปลูกไม้ผล ไม้ยืนต้น หรือพืชไร่ ทำให้สภาพผิวดินเดิมเปลี่ยนแปลงไป  ปฏิกิริยาดินของดินไม่แน่นอน ขึ้นอยู่กับสมบัติของดินเดิมที่ยกร่อง แต่ส่วนใหญ่  ปฏิกิริยาดินเป็นกรดปานกลางถึงด่างจัด,ตามปกติดินมีความอุดมสมบูรณ์ตามธรรมชาติปานกลางถึงสูง,3.0,0.15000000000000002,33.2,203.0,"[6.0, 6.5]",2.7,0.135,27.9,191.9,"[7.0, 8.5]",6.5,6.0,8.5,7.0,ไม่มีข้อมูล,[],,,
9,ชุดดินชะอำ (Ca),['Ca'],เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนผสมของตะกอนลำน้ำและตะกอนน้ำทะเล  แล้วพัฒนาในสภาพน้ำกร่อย พบในบริเวณที่ราบลุ่มชายฝั่งทะเล  ที่อาจมีน้ำทะเลหรือน้ำกร่อยท่วมเป็นครั้งคราว มีน้ำแช่ขังในช่วงฤดูฝน  เป็นดินลึกที่มีการระบายน้ำเลว เนื้อดินเป็นพวกดินเหนียว สีดินเป็นสีเทา  มีจุดประสีเหลืองหรือสีแดงปะปน และ  พบจุดปะสีเหลืองฟางข้าวของสารจาโรไซต์อยู่ในระดับตื้นกว่า 50 ซม.  ดินล่างมีสีเทาหรือสีเทาปนเขียว และมีเศษพืชที่กำลังเน่าเปื่อยปะปนอยู่ด้วย  ปฏิกิริยาดินชั้นบนเป็นกรดจัดมากหรือเป็นกรดรุนแรงมาก ส่วนดินล่างที่เป็นดินเลน  มีปฏิกิริยาดินเป็นกลางถึงด่างจัด มีค่าความเป็นกรดเป็นด่างประมาณ 7.0-8.5,ต่ำ-ปานกลาง,2.6,0.13,16.6,114.4,"[4.5, 5.0]",2.4,0.12,13.7,241.4,"[4.5, 5.0]",5.0,4.5,5.0,4.5,"มีค่าระหว่าง 20.43-21.44 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 20.87 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['20.43', '21.44', '20.87', '120', '33', '1,500']",20.43,21.44,20.87
10,ชุดดินเชียรใหญ่ (Cyi) ชุดดินมูโน๊ะ (Mu) ชุดดินองครักษ์ (Ok) หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Cyi', 'Mu', 'Ok']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนผสมของตะกอนลำน้ำและตะกอนน้ำทะเล  แล้วพัฒนาในสภาพน้ำกร่อย พบในบริเวณที่ราบลุ่มที่ห่างจากทะเลไม่มากนัก  มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินลึกที่มีการระบายน้ำเลวหรือค่อนข้างเลว  หน้าดินอาจแตกระแหงเป็นร่องลึกในช่วงฤดูแล้ง เนื้อดินเป็นพวกดินเหนียว  ดินบนมีสีดำหรือสีเทาแก่ ดินล่างมีสีเทา มีจุดประสีน้ำตาลปนเหลือง สีแดง  ปะปนตลอดชั้นดิน และพบจุดปะสีเหลืองฟางข้าวของสารจาโรไซต์ภายในระดับความลึกตื้นกว่า  50 ซม. และเป็นกรดรุนแรงมากถึงเป็นกรดจัดมาก,ต่ำ,1.6,0.08000000000000002,4.2,304.8,"[4.0, 4.5]",1.1,0.05500000000000001,2.7,278.0,"[3.5, 4.0]",4.5,4.0,4.0,3.5,"มีค่าระหว่าง 20.15-21.43 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 20.52 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['20.15', '21.43', '20.52', '120', '33', '1,500']",20.15,21.43,20.52
